category,subject,statement,date_as_written,date_iso,citation,verbatim_quotation
place,George Douglas; Warren Douglas,"George acknowledged the 1886 deed in Ellis County 9 Oct 1886 before R. P. Mackay; Warren acknowledged in Johnson County 27 Jan 1887 before Jno. T. Odom, Clerk Dist Court",9th day of October AD 1886; 27th day of Jany 1887,1886-10-09; 1887-01-27,05-154-P02; 05-154-P04,this day personally came George Douglas ... this 9th day of October AD 1886 / R. P. Mackay Notary Public / Ellis County Texas ... County of Johnson / Before the undersigned authority this day personally Came Warren Douglas ... this the 27th day of Jany 1887 / Jno. T. Odom / Clerk Dist Court Johnson Co Texas / By [[Jerry Towers?]] / Deputy
relationship,H Douglas; Geo Stanford & Ellen Stanford; R C Farrar & M D Farrar; W E Bell & Jonnie Bell; H Headrick & S G Headrick,"Acknowledged before S. B. Farrar, notary, Ellis County; wives examined privily",15th day of April AD 1891,1891-04-15,05-155-P02,Before me S. B. Farrar a Notary Public in Ellis County Tex on This day personally appeared H Douglas & Geo Stanford and wife Ellen Stanford & R C Farrar & wife M D Farrar & W E Bell & wife Jonnie Bell & H Headrick and wife S G Headrick ... This the 15th day of April AD 1891
land,Heirs of Mary Douglas decd to Lizzie Douglas,"Filed 28 May 1896, recorded 29 May 1896 in Deed Record Book 92 Page 576 by T F Thompson",28 day of May 1896,1896-05-28,05-155-P03; 05-155-P04,"duly and correctly recorded in my office, on the 29 day of May, 1896 at 9:40 o'clock A m., in Deed Record Book 92 Page 576 ... Heirs of Mary Douglas decd / Deed / to / Lizzie Douglas / FILED FOR RECORD / this 28 day of May 1896"
land,Mary Douglas to Lizzie Douglas,"Deed in consideration of Lizzie's quitclaim of the N L Douglas estate: 82 acres more or less on Subletts creek about 10 miles N. E. of Waxahachie, part of the A. J. Porter survey, south of an 80 acre survey made to the heirs of Rebecca Winniford; Mary retains use and control for life; acknowledged at Palmer before Wm Hancock J P Precinct No. 3; filed 21 Aug 1875 Book O page 3 / 344",Feb 25 A. D. 1875,1875-02-25,05-158-P02; 05-158-P03; 05-157-P01; 05-157-P02; 05-157-P03; 05-157-P04,"I Mary Douglas of the county and State aforesaid, for and in consideration of the quit claim deed of Lizzie Douglas, in and to the estate of N L Douglas, unto me made ... situated in Ellis county Texas about 10 miles N. E. from the town of Waxahachie on Subletts creek and being a part of a survey patented in the name of A. J. Porter ... at 975 vs. a stake in S. line of an 80 acre survey made to the heirs of Rebecca Winniford ... containing 82 acres more or less ... Provided however that I am to retain the use and control of the described land and its tenements during the period of my natural life. ... This Feb 25 A. D. 1875 / Mary Douglas ... at office in Palmer the 25th day of February AD 1875 Wm Hancock J P E C / Texas Precinct No. 3 / No. 86"
land,George Douglas; Lizzie Douglas,"George sells to Lizzie for $700 his undivided 60-acre interest in the 80-acre Winniford tract (surveyed for the heirs of Rebeca Winniford; secured to him by deed from Mary H. Roper, Alice E. McCrary, E. L. Winniford and H. D. Winniford), about 10 miles N 30 E from Waxahachie on Subletts creek; and for $300 twenty acres of the Porter survey secured to him by deed from Mary Douglas jointly with Jesse and Warren Douglas and by deeds from Jesse and Warren",April 1st A. D. 1887,1887-04-01,06-003-P01; 06-004-P02; 06-005-P01,"I George Douglas of the county and state aforesaid ... for and in consideration of $700.00 Seven hundred dollars to me in hand paid [[inserted: by Lizzie Douglas of the said county and State]] ... all my right title claim and interest in and to an 80 acre tract or parcel of land, a part of a 1280 acre survey pattented in the name of A. J. Porter, and surveyed for the heirs of Rebeca Winniford and secured to me by deed from Mary. H. Roper. Alice. E. McCrary. E. L. Winniford and H. D. Winniford the same being an undivided interest of 60 acres ... Also for the further consideration of $300.00 three hundred dollars ... twenty acres of land a part of the said A. J. Porter 1280 acre survey; the same being secured to me by Deed from Mary Douglas, jointly with Jesse and Warren Douglas and by deeds from the said Jesse and Warren Douglas ... George Douglas / This April 1st A. D. 1887."
church,Church lot,"The Winniford tract's boundary runs to the SW, SE and NE corners of 'a Church lot' on the west line of the Porter survey",1887,1887,06-004-P01,"Thence N. 30. W with W. line of said Porter survey 246 vs a stake, the S. W. Corner of a Church lot / Thence N 60. E. 280. vs S. E. corner of said Church lot / Thence N. 30. W. 90 varas. N. E. corner of said church lot"
land,Geo Douglas to Lizzie Douglas,"Acknowledged 2 April 1887 before R. P. Mackay; recorded 9 April 1887 Deed Record Vol 47 pages 228-9 by B. F. Hawkins, deputy R. M. Beale",April 9 1887,1887-04-09,06-006-P01; 06-006-P02; 06-006-P03,"this 2d day of April AD 1887 / R. P. Mackay Notary Public ... recorded in my office, on the 9th day of April, 1887, at 5:20 o'clock P m., in Deed Record Book Vol 47 page 228-9. ... B. F. Hawkins / Clerk County Court, Ellis Co., Texas. / R. M. Beale Deputy."
place,John McCrary; A. E. McCrary,Acknowledged in Floyd County before C. C. B. McLain,10th day of Nov. AD 1891,1891-11-10,06-008-P01,Before me C. C. B. McLain a Notary Public in and for the County of Floyd ... This day personly appeared John McCrary and wife A. E. McCrary ... This 10th day of Nov. AD 1891.
land,H. D. Winniford et al (3rd deed) to Lizzie Douglas,"Filed 28 May 1896, recorded 29 May 1896, Record of Deeds Book [[91?]] page 574; fee $[[2.75?]]",May 28 1896,1896-05-28,06-008-P02,H. D. Winniford Et al / 3rd deed / TO / Lizzie Douglas / Filed for Record this the 28 [[deleted: illegible]] day of May A. D. 1896 ... Recorded May 29 A. D. 1896 in Ellis County Record of Deeds Book [[91?]] Page 574
land,H D Winniford; Walter Roper; Mary F Roper; John McCrary; A. E. McCrary; Lizzie Douglas,"Warranty deed of Mary Douglas's heirs for $1 and services: the thirty-acre tract, signed at Big Springs, Texas",22d day of July A. D. 1891,1891-07-22,06-009-P01; 06-009-P02; 06-010-P02; 06-011-P01,THAT We The undersigned heirs at law of Mary Douglas Decd ... for and in consideration of the sum of one Dollar ... and The further Consideration of The Many Services rendered to the said Mary Douglas during her last years of life by Lizzie Douglas ... Witness our hands at Big Springs Texas this 22d day of July A. D. 1891 / H D Winniford / Walter Roper / Mary F Roper / John McCrary ... A. E. McCrary
place,H D Winniford; Walter Roper; M F Roper; W. C. Walker,"Acknowledged in Howard County before W. C. Walker, County Clerk, deputy P. C. Buntley",22d day of July A. D. 1891,1891-07-22,06-011-P02; 06-011-P03,"County of Howard / BEFORE ME, W. C. Walker County Clerk ... personally appeared H D Winniford and Walter Roper and wife M F Roper ... By P. C. Buntley Deputy."
land,T. F. Thompson,Recorded 29 May 1896 Volume 92 page 574; deputy [[Maude S Parks?]],29 day of May A. D. 1896,1896-05-29,06-011-P04,"filed for record in my office the 28 day of May A. D. 1896 at 11:30 o'clock A.M., and duly recorded this 29 day of May A. D. 1896 at 11:40 o'clock A.M., in the Deed Records of said County, in Volume 92 on Pages 574 ... T. F. Thompson Clerk ... By [[Maude S Parks?]] Deputy."
place,Lizzie Douglas,"Envelope to Miss Lizzie Douglas, Ferris, postmarked Readyville Tenn Mar 23; slip: L. A. Jetton, March 20 1883, tells of death of Rebecca T. Alexander; implied will stolen","March 20, 1883",1883-03-20,06-012-P01; 06-012-P02,"Miss Lizzie Douglas / Ferris / Tex / READYVILLE TENN / MAR / 23 ... To Miss Lizzie / Douglas / from Cousin / L. A. Jetton / Readyville, Tenn / March 20, 1883 / Tells of death of Rebecca / T. Alexander. Implied / will was stolen from / her drawer."
person,Willie; Mary Lee; Granville; Pap; Adele; Bro Mcguffy; Jennie; Aunt Sallie,L. A. Jetton's household 1883: Willie; Mary Lee's babe Granville sick; Pap improved; Adele's new home; Bro Mcguffy moved; Jennie half a mile; Aunt Sallie in West Tenn.,March 20 1883,1883-03-20,06-013-P01; 06-014-P01,Willie & myself are both as well as usual ... Mary Lees Babe little Granville has been very sick but is better to day Paps health has improved ... Adele spent Several days with me last week ... Bro Mcguffy has moved to his new home ... I am very glad to have Jennie So near me it is only a half a mile ... Aunt Sallie is still in west Tenn
event,L. A. Jetton,Lonely 'only a little negro with me'; Willie works his grandpa's land and hauls,March 1883,1883-03,06-014-P01,I have Such a lonely time here only a little negro with me Willie is at home of nights but gone every day he is working land over at his Gran Paps this year
event,Cousin Rebecca Alexander,Death from cold caught looking at the comet; in her right mind; died the evening after eating breakfast,before March 1883 (Nov 11 1882 per Lillard),1882-11-11,06-014-P02,She exposed herself getting up very early of mornings to look at the Comet which She was very much interested about She took a very Severe Cold and died from the effect of it I think She was in her right mind all the time during her Sickness Sat up eat her breakfast and talked with her friends in the morning and died that evening
event,Cousin Andy (A. M. Alexander); Charlie; Pap,"Will stolen from her drawer two weeks before her death; Andy willing to give up the land, wants to buy from the heirs; Jacob Wright estate worth about $[[26000?]]",March 1883,1883-03,06-015-P01,he told them Cousin Rebecca will was stolen out of her draw two weeks before her death he is willing to give up the land does not wish to have a law Suit but wants to buy the land of the heirs has already made arangements to get the interest of Several of the Wright family The Jacob Wright Estate is said to be worth about $[[26000?]] and my own opinion is the heirs ought to have it as Cousin Andy will be a rich man without it
relationship,L. A. Jetton; Lizzie Douglas,"Slip: March 3 1878, mentions death[?] of Susanna Douglas Bell","March 3, 1878",1878-03-03,06-016-P01,"To Miss Lizzie / Douglas / from Cousin / L. A. Jetton / Readyville, Tenn / March 3, 1878 / (mentions death[?] / of Susanna Douglas bell)"
event,L. A. Jetton household 1878,Pap & Mother complaining; children have whooping cough; Willie bilious fever; Adele; Cousin Nellie; Charles's children; wedding and reception at Cousin Miriam's; Jimmie & Mary; newhope church,March the 3 1878,1878-03-03,06-017-P01,Pap & Mother are both Complaining and the Children all have the Whooping Cough ... Well the wedding Came off at the appointed time ... Adele Willie and myself all went to the reception At Cousin Miriams ... Jimmie & Mary are going to live with Cousin Miriam ... they have [[inserted: gone]] to Church to day at newhope
event,Cousin Sue (Susanna Bell),Condolence: 'I loved Cousin Sue on earth I hope to meet her in heaven',March 1878,1878-03,06-018-P01,Dear Cousin you have my deepest sympathy in your great afflictions I loved Cousin Sue on earth I hope to meet her in heaven where Sorrows and partings are unknown
person,may beth; uncle Jimmy; Cousin S; Adele,Jimmie chosen 'in fun' as son-in-law; uncle Jimmy to get pictures,March 1878,1878-03,06-018-P01,I told may beth I had picked him out for my Soninlaw (just in fun you know) ... Tell uncle Jimmy Mary is going to write to him before long and Send him hers & Jimmies pictures ... Adele says tell [[Cousin S he?]] will write to her
relationship,Maybel ? Jetton; Lizzie Douglas,"Slip: to Lizzie Douglas from Maybel ? Jetton, Readyville; signature read [[Maybey?]] Jetton","Apr. 8, 1874",1874-04-08,06-019-P01; 06-022-P01,"To / Lizzie Douglas / from / Maybel ? / Jetton / Readyville, Tenn / Apr. 8, 1874 ... Yours Truly / [[Maybey?]] / Jetton"
person,aunt Nellie; aunt Sarah; uncle Charlie; uncle Tip; Grandpap; Mr. Barr; Nannie Fletcher; Dr. Dickson; aunt Jane,"Readyville kin 1874; uncle Charlie weighs 200 pounds; Mr. Barr's youngest son to marry Miss Nannie Fletcher, niece of Dr. Dickson",April. 8th 1874,1874-04-08,06-020-P01; 06-021-P01,aunt Nellie. She has been very sick ... She is afraid she has the consumption. aunt Sarah was over a few days ago ... uncle Charlie has grown / to be so large I dont expect you would hardly know him he weighs two hundred pounds. uncle Tip Started to Nashville for his new Spring goods last monday. Grandpap went with him ... Mr. Barrs youngest Son is to be married to morrow night to Miss Nannie Fletcher neice of Dr. Dicksons ... I suppose aunt Jane and Mr. Barr will be very well pleased
church,new hope Church; Ma; uncle Albert,Preaching first Sunday monthly; Sunday School every Sunday evening; Ma and uncle Albert teachers; church members dancing,April 1874,1874-04,06-021-P01; 06-021-P02,Several of our church members have been / dancing. We have preaching at new hope Church the first Sunday in every month and Sunday School every Sunday evening. Ma and uncle Albert are teachers
person,Jennie White Jetton; Delie; Willie; Joanna; Cousin George,Children at school; scrapbook; asks Cousin George for verses,April 1874,1874-04,06-021-P02,Little Jennie White Jetton is Staying [[deleted: here]] going to school. She and Delie have a fine time to gether ... Joanna has had her [[deleted: illegible]] flower garden made ... I have Started me a Scrapbook tell Cousin George to Send me some pretty verses to
event,Maybel/Marybee Jetton,Longs to see 'my old home and friends' (i.e. Texas),April 1874,1874-04,06-022-P01,Dear cousin you dont know how much I should like to see my old home and friends once more. I thought when I first came away I could soon forget you all; but not so
relationship,L A Jetton (Lewis ?); Lizzie Douglas,"Slip: to Miss Lizzie Douglas from Cousin L A Jetton (Lewis ?), Readyville","Feb 1, 1874",1874-02-01,06-023-P01,"To Miss Lizzie / Douglas / from Cousin / L A Jetton / (Lewis ?) / Readyville, Tenn. / Feb 1, 1874"
church,Readyville school; Bro Rice Sewell; newhope,School taught by a preaching brother; Bro Rice Sewell preaches at newhope once a month; three other churches,Feb. 1 1874,1874-02-01,06-024-P01,The school will be taught at Readyville by one of our preaching brethren he has been teaching for many years and is a Splendid scholar and a good man We have preaching at newhope once a month Bro Rice Sewell preaches for us again this year
money,Lizzie Douglas; L A Jetton,Lizzie sent money from her Ma's sale of the saddle,Feb 1874,1874-02,06-025-P01,I was very much surprised when I saw the Money you sent me I never dreamed of such a thing as your Ma selling the saddle but as you say money never comes amiss
person,Mr Barr; Aunt Jane; Marybee; Charlie; Alma; Eddie Jolly; Emma; Peter,"Readyville kin, 1874; Charlie's wife disliked; Eddie Jolly courting Marybee",Feb 1874,1874-02,06-025-P01; 06-025-P02,Mr Barr and Aunt Jane Came up and Spent a night with us ... Marybee went to Readyville last week and [[deleted: illegible]] her picture taken ... Charlie and family are all getting on finely Little Alma is a sweet little thing ... I have less use for his lady than any woman I ever saw ... Mr Eddie Jolly one of Emmas brothers is coming to see Marybee I dont know what Peter will say about it
relationship,"Fannie (Columbia Goodloe); Tommie, French, Bobbie, Mary; Newton Goodloe; Mary Douglas; Cynthia Orr","Slip: Fannie ? (Columbia Goodloe) mentions brothers Tommie (Thomas), French, Bobbie (Robert), sister Mary, children of Newton Goodloe, the brother of Mary Douglas & Cynthia Orr; written from Russellville, Ala.","June 21, 1874",1874-06-21,06-026-P01,"To Cousin / Lizzie Douglas / from / Fannie ? / (Columbia Goodloe) / Mentions in letter / brothers Tommie / (Thomas), French, / Bobbie (Robert), sister / Mary – children / of Newton Goodloe, / the brother of Mary / Douglas & Cynthia Orr / Written from / Russellville, Ala. / June 21, 1874"
relationship,Fannie; Uncle Dr Clarke; Uncle John; Brother French; Russell; Eugene; Broth Tommie; little N L; Broth Bobbie; Sis Mary; Pa,"Fannie keeps house for Uncle Dr Clarke (widower, 5 children); Uncle John; will live with Brother French; Tommie's children incl. 'little N L'; Bobbie in the drug store; Sis Mary weighs 84",June 21st 1874,1874-06-21,06-027-P01; 06-028-P01,I am now staying with my Uncle Dr Clarke he has very recently lost his wife and he has 5 little Children ... Uncle John is very anxious for me to live with him ... dear Brother French has always done so much for me ... he has two Beautiful Boys Russell and Eugene Broth Tommie has 2 [[illegible]] and little N L Broth Bobbie is with Broth French in the Drug store Sis Mary lives 2 miles from here her health is very bad now ... only weighs 84 I weigh 125
event,Fannie's Pa (Newton Goodloe per slip),Pa is in Texas and pleased; hoped he will stay with Lizzie's family or Aunt Cynthia,June 1874,1874-06,06-028-P01; 06-029-P01,I am glad Pa is so much pleased with Texas I hope he can get business out there I wish Brother would move out there too I hope Pa will stay with you all or Aunt Cynthia one ... Tell Pa I am anxiously awaiting an answer to my letter ... Your Unknown but loving Cousin / Fannie
relationship,Lizzie Graves; Lizzie Douglas,Slips call Lizzie Graves 'Aunt' and 'Miss'; one slip 'Written by Miss Lizzie Graves To Aunt Lizzie',,,06-030-P01; 06-033-P01; 06-033-P02; 06-036-P01,To Lizzie Douglas ? / from / Lizzie Graves ... Written by Miss Lizzie Graves / To Aunt Lizzie ... To Lizzie Douglas / from Aunt / [Miss Lizzie Graves] / Pratties Ala.
event,Lizzie Graves; Bud Joe; Bud Davy; Charlie; Pa,Bud Joe to Mobile hoping to join an emigrating company for Brazil; Pa planted ~50 acres corn; three hundred acres to cultivate; Snowden,,,06-032-P01; 06-031-P01,Pa and Bud Joe went to Snowden to day (about fifteen miles from here) ... there is an emigrating company to start from there to Brazil between the 15th & 20th of this Month he wants to get with them if he doesnt succeed in that he may land in Texas ... Bud Davy has gotten shut of the chills ... I dont know how much corn Pa has planted about fifty acres I reckon ... We have / three hundred acres to cultivate
person,Parson Bone; Mr. Rouse; Ellen Douglas; Sue Roberts; Mollie,Valentines and 'Flora'; Ellen Douglas has Flora,,,06-031-P02; 06-031-P03,I suppose you could not afford to go and let Parson Bone make jewely of you ... Ellen Douglas have Flora but I dont know that the emblems are all the same ... I wrote to Sue Roberts not long ago ... I wrote to Mollie not long ago
person,Grand ma; Bud John; Aunt Jane (Jenny's own mother); Uncle J.,Aunt Jane's family to move in; her husband and two daughters to California,Saturday 19th,,06-034-P01,Aunt Jane and her family (Jennys own mother) expect to move out in a few weeks. her husband and two of her daughters and their families have gone to California Uncle J. has only gone to look at the country
event,Lizzie Graves,"New saddle, gloves, pony that kneels; Pa's eyes worse",,,06-035-P01,I have a new saddle and new gloves and a little pony that will kneel for me to get on ... Pas eyes are getting worse
place,Lizzie Graves,Pratville Ala.; home named Mosshead or Buttonwood Hall,March 10 67,1867-03-10,06-037-P01; 06-038-P02; 06-036-P01,Pratville Ala. / Sunday evening March 10 67 ... The name of our present home is Mosshead or Button wood hall
event,Lizzie Graves; Laura,Laura going away so far; regards to Lizzie's father and Mother and Mr [[Orr?]],March 1867,1867-03,06-037-P02,I am sorry for you that Laura is going away so far from you remember me very kindly to her when you see her my kindest regards your father and Mother also to Mr [[Orr?]]
event,Lizzie Graves,Would rather live in Texas; Pa moved to Alabama for Grand Ma and schooling; cannot go to school; sewing,March 1867,1867-03,06-038-P01,it is true I would much rather live in Texas and I sometimes feel right sad when I think about having left there ... Grand Ma living here alone She has only one other Son ... thinking as he did that the opportunities for schooling [[inserted: us]] would be greater than to have stayed there
event,Cousin [[M. W.?]]; Mrs. G's little girl,"Three corpses at one sight; Cousin M. W. left eight children, six girls, oldest boy about sixteen gone to Virginia",about a month ago [Aug 1868],1868-08,06-041-P01; 06-042-P01,"About a month ago I saw something that I never witnessed before—three corpses at one sight all to be laid in one family grave yard Cousin [[M. W.?]] and her little infant were laid in one coffin and Mrs. G's little girl in another ... Cousin M. left [[inserted: eight]] children—[[two?]] grown live / less, six girls, the oldest in her fifteenth year The oldest boy (about sixteen) left home a few days before her death for Virginia to go to school"
church,Lizzie Graves; Miss Mattie B.; Mr. C.,"Sunday School class of seven boys; gave a boy a Bible; lessons historical, Abraham to David",Sept 1868,1868-09,06-042-P01; 06-043-P01,I have a class in Sunday School composed of seven boys ... he said they did not have a Bible in the family so I gave him a Bible ... We dont use any book in the class but the Bible the lessons we teach now are all historical
person,Annie Roberts; Frank; Bud Davy; Bud Joe,Chills; Frank sick; Bud Joe overseer four miles off,Sept 30th 1867,1867-09-30,06-045-P01; 06-046-P01,you and Annie Roberts have been more punctual than any of my correspondents ... Frank and I both took chills ... Bud Joe has had one & I dont know he is not at home now he is living about four miles from here hiring as overseer for one of our Cousins until the cotton crop is gathered
event,Lizzie Graves,Fruit in Alabama: no peaches; Grand Ma's orchard destroyed by a tornado; pomegranate trees,Sept 1867,1867-09,06-046-P01,I do want some good peaches so bad haven't had any here since I left home ... she once had an apple and pear orchard [[illegible]] it was destroyed a few years ago by a tornado that blew her house down ... Grand Ma has plenty of pomegranate trees did you ever see any?
church,Lizzie Graves; Grand Ma; Pa; Frank; Episcopalians; Methodists,Kin nearly all Methodists; Pa and one sister 'gone astray'; protracted Methodist meeting suspended for election days; Frank reading the Bible,Sept 30 1867,1867-09-30,06-047-P01; 06-048-P01,Lizzie I thought I had told you that our kin were nearly all Methodists ... Pa and one of his sisters have gone astray from the teachings of their childhood my Aunt is a member of the Episcopal Church ... the meeting is suspended untill wednesday on account of today and tomorrow being election days ... Frank has been reading the Bible a good deal lately I do wish we had a good preacher I think his mind is now open to receive the truth ... I think Grand Ma [[tries?]] hopes to win us all over to the Methodist church
event,Lizzie Graves; Mr. — ('my beau'),Evening ride to a persimmon tree; 'he doesn't suit my style',Sept 30 1867,1867-09-30,06-048-P02,"Mr. — (""my beau"") was there, he asked me to take a ride with [[inserted: him]] and Oh! we had a ""[[time of it?]]!"" rode on horse back we went to a persimmon tree ... he is a very nice young man but he doesn't ""suit my style"" so much of my nonsense"
place,Pa (Graves); Montgomery; Lowndes,Pa to Montgomery and Lowndes; crops tolerably good,Sept 1867,1867-09,06-048-P03,Crops are tolerably good here corn is turning out pretty well Cotton better than I expected ... Pa went to Montgomery [[deleted: illegible]] [[inserted: to day]] Tuesday ... he expects to go to Lowndes tomorrow
event,Lizzie Graves,Sick in bed nearly a week; 'an Ala. girl' (pale faces),Aug. 29th 1867,1867-08-29,06-050-P01,"My sickness has served to make me look like an Ala. girl the first morning that I was able to fill my seat at the table some of them said ""Cousin Lizzie your sickness shows right smartly on you"" I said ""Oh! it is only helping to make an Ala. girl of me"" ... ""we dont have as many pale faces there as you do here"""
church,Lizzie Graves; Pa; Mr. Thurgeson; Christian Church; Liberty,Heard of a Christian church twelve or fifteen miles south; Pa and she 'alone'; 'series of doctrinal sermons like they do at Liberty',Aug 1867,1867-08,06-051-P02; 06-050-P02,Pa heard of a christian Church some twelve or fifteen miles south of this ... I havnt met up with any one yet who is a member of the Christian Church Pa and I are alone it makes me feel right badly ... we dont have series of doctrinal sermons like they do at Liberty
person,Mr. Ba; Mr. Horns; Mr. Goodman; Mr. Austin; Jane and Mary; Aunt Susanna Andrews (Graves),Examinations; Mr. Goodman moving; letter enclosed for Jane and Mary ('the boys'); storm reported by Aunt Susanna Andrews (Graves),Aug 1867,1867-08,06-051-P01; 06-050-P02; 06-051-P03,I wish very much I could have been with you at Mr. Ba's examination ... Lizzie do you ever hear anything from Mr. Goodman these days poor man I reckon he will move and move until he settle in his grave ... Where is Mr. Austin ... I have written a letter to Jane and Mary which I hope you will pardon me for sending in yours give it to any of or all the boys and they will get some person to read it for them ... I received a letter from Aunt Susanna Andrews (Graves) a few days ago
relationship,Lizzie Graves; Dr. (L. Douglas) & Ellen,"Slip: May 10 1867, regards given to Dr. (L. Douglas) & Ellen; letter gives regards 'to the Dr. and Ellen also to Maggy and Jennie Bell'","May 10, 1867",1867-05-10,06-052-P01; 06-054-P01,(Regards given to Dr. (L. Douglas) / & Ellen. ... Give my kind regards to the Dr. and Ellen also to Maggy and Jennie Bell and to all enquiring friends ... L. J. G.
event,Lizzie Graves,"Pa's sore eyes; chills broken with red pepper; brothers Frank, [[Thaddie?]] & Charles at work",May 10th 1867,1867-05-10,06-053-P01; 06-054-P01,he has had sore eyes very bad but they are improving now I very much feared he would entirely lose one of them ... had two or three chills but broke them up with red pepper / I have been quite well since then Brothers are now at work trying to earn their bread by the sweat of their brow work seems to agree with Frank [[Thaddie?]] & Charles
event,"Memorial decorations, Alabama 1867",May party at Tusk[egee?] to decorate Confederate graves; the colored ladies of Montgomery decorated the Yankee dead; Methodist reunion convention; Catholics,May 1867,1867-05,06-054-P01; 06-054-P02,There was a May party given by the ladies at Tusk[[illegible]] the first of this month ... to decorate the graves of the Alabama confederate dead A few days after the white ladies had enjoyed their [[deleted: illegible]] on the confederate dead The colored ladies of the city of Montgomery formed a procession marched down to the graveyard loaded with flowers to decorate the graves of the Yankee dead ... The church convention is now in [[illegible]] for the purpose of uniting the Methodist Episcopal and Methodist Protestant churches again ... The Catholics have been making quite a [[illegible]] here lately
money,Corn price,"Corn selling at $2.00 per bushel (Alabama, May 1867)",May 1867,1867-05,06-054-P02,he is going to carry corn off for sale it is selling at $2.00 per bushel
event,Lizzie Graves; Uncle J.; Aunt; Cousin Mary,Uncle returned from California delighted; cousins moved to Los Angeles; earthquakes; bought a home in Greenville thirty miles off; beaus,Nov. 20th 1868,1868-11-20,06-056-P02; 06-057-P01; 06-057-P02,"My Uncle has returned from California highly delighted with every thing ... Sanfrancisco is far a head of Montgomery in the fashions if not ahead of New York ... My cousins found it too gay for them, so they moved about 500 five hundred miles south of that to Los angeles ... I think the Earth quakes they have been having out there have shaken his determination ... he has bought a home in Greenville, about thirty miles from here ... We have been having a good many ""beaus"" since Cousin M. came"
event,Mr Winniford's marriage,Lizzie Graves has not heard of Mr Winnifords marriage; sympathizes with Lizzie's loneliness,Nov 1868,1868-11,06-056-P02,I have not heard of Mr Winnifords marriage I know how to sympathize with you in your loneliness
relationship,M E Goodloe; Lizzie Douglas,"Slip: to Lizzie Douglas from (Niece) M E Goodloe, Randolph (Field); letter addresses Lizzie as 'Dear Niece'","Feb 12, 1865",1865-02-12,06-059-P01; 06-060-P01,"To Lizzie Douglas / from (Niece) / M E Goodloe / Randolph – (Field) / Feb 12, 1865 ... Randolph Feb the 12 1865 / Miss Lizzie D. / Dear Niece"
event,Henry Orr,"Passing through on his way to his command two days' ride away; five weeks from his command, detained in Louisiana with a lame horse",Feb 1865,1865-02,06-060-P01,I was allso agreable surprised in a viset from Henry Orr the other day he was passing thru this Co on his way to his command which is in two days ride of this plaise he only staid too nights with us he was well He has not ben withe the command in 5 weeks he was ditained in Luisiana on the account of his horse being lame
person,Uncle Tom; Granvill and Babe; Nannie; Mary Orr; Laura; Sue,M E Goodloe's kin; party with supper and dance; 'my brittest hopes have been blasted',Feb 1865,1865-02,06-061-P01; 06-061-P02,I was at Uncle Toms when he came we wer just starting to a party ... I did justice to the Supper but of cours tuck no hands in the dance ... Lizzie I do not think their is any more purfict happiness in this world for me for my brittest hopes have been blasted ... I heard from Granvill and Babe the other day ... Nannie is bothering me ... Tell Mary Orr that I think it time that she had answered my letter tell Laura ... tell Sue to write to me
event,M E Goodloe; George Douglas,Received a letter from George Douglas and answered it; 'old Houston',Feb 1865,1865-02,06-061-P02,I received a letter from George Douglas and answered it and think it time that I was getting a nother one / Lizzie their is some very pretty girls and boys in old Houston
event,Mrs [[Stinnet?]] (Claunch) murder,Sisters' account: Mrs [[S?]] killed; daughter Mollie aged 15 suspected; girl's bloody dress found; bond of [[five?]] hundred dollars; jailed at [[Wax?]]; Mrs Douglas first on the scene,[Sept 1863],1863-09,06-063-P01,"I have a horrible tale to recount this week tis the murder of Mrs [[Stinnet?]] by her daughter. Mrs [[S?]] is a sister to Mr [[Simons?]] ... Mrs Douglas was the first one to get there after it happened, and [[illegible]] poor crying little child & asked it who kilt her Mother – [[illegible]] the child said it was Mollie. Search was made and the girls dress was found concealed, all bloody. ... three days was given her to give [[five?]] hundred dollars bond she could not so her [[illegible]] went to [[Wax?]] jail."
person,Sister; Pleas Tyler; John; [[Morriss?]]; Mr [[Morton?]],Laura's Friday Sept 18 page; Sister's children,Friday Sept 18,,06-064-P01,Sisters children came home with me this morning she came this evening They are all well and hearty Sister is quite uneasy about her [[beef?]] ... Pleas Tyler is [[illegible]] and I heard him say he would be gone about ten days
money,Lizzie (to George),Bought a saddle for twelve dollars; packing something for 'you boys',Saturday evening 20th,,06-064-P02,I have got me a beautiful saddle got it [[illegible]] Mrs [[illegible]] brought it [[illegible]] twelve dollars
event,Magruder; flour speculation,Wheat carried in before the tithe tax sold by speculators; man from Nacochitoches says Magruder is at the head of it; sending George a sack of flour and fat bacon for his fish,[1863-64],,06-066-P01,"It is now currently reported and believed, that the wheat which the Farmers carried in before the tythe tax, was due, in order that the Soldiers might get some flour has been sold by speculators. ... There was a man here the other day from Nacochitoches who says this is so, and that Magruder is at the head of it. ... What if old Magruder orders you away from Sabine about the time Joda gets back, and takes all of your flour and bacon away from you? We are going to send you a sack of flour a piece and a good supply of fat bacon which I hope will serve to make your fish a little more savory."
person,Joda; Mr Banks; Col. [[illegible]],Joda saw Mr Banks in Dallas; bridle cannot be got; blanket mended,,,06-067-P01,"Joda saw Mr Banks in Dallas the last day he was there ... We will send all the things required, without it is the bridle. ... I have finished mending your blanket."
